smart_12_raw,smart_184_raw,smart_187_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_1_raw,smart_242_raw,smart_4_raw,smart_7_raw,smart_9_raw
0.031331232,-0.035232861,-0.02318687,-0.01362002,-0.477936323,-0.074196781,-0.477936323,-0.021970276,-0.021970276,-0.023835544,0.39979374,-0.524535879,0.164334598,-0.008206208,-0.173470689
-0.083821248,-0.035232861,-0.02318687,-0.01362002,0.782587809,-0.074196781,0.782587809,-0.021970276,-0.021970276,-0.023835544,-0.026086056,-0.547416202,-0.375591244,-0.007909673,-1.02507948
-0.083821248,-0.035232861,-0.02318687,-0.01362002,-0.982145975,-0.074196781,-0.982145975,-0.021970276,-0.021970276,-0.023835544,-1.63057138,-0.577764741,-0.375591244,-0.008319214,-0.086179069
-0.068467584,-0.035232861,-0.02318687,-0.01362002,-0.225831497,-0.036030436,-0.225831497,-0.021970276,-0.021970276,-0.023835544,-0.102770816,-1.547060683,-0.303601131,-0.008310747,-3.105094432
-0.045437088,-0.035232861,-0.02318687,-0.01362002,-0.730041149,-0.074196781,-0.730041149,-0.021970276,-0.021970276,-0.023835544,0.976296787,-0.981414657,0.200329655,-0.008247296,-0.015246037
0.100422719,-0.035232861,-0.02318687,-0.01362002,-1.234250802,0.154801294,-1.234250802,-0.021970276,-0.021970276,-0.023835544,-1.111951047,0.921110046,0.488290104,-0.004471815,1.605628743
-0.030083424,-0.035232861,0.02637337,-0.01362002,-0.225831497,-0.074196781,-0.225831497,-0.021970276,-0.021970276,-0.023835544,0.174634015,-0.671235938,-0.123625851,-0.008254414,-0.500230026
0.046684895,-0.035232861,-0.02318687,-0.01362002,-0.730041149,-0.074196781,-0.730041149,-0.021970276,-0.021970276,-0.023835544,1.028062102,-0.303623651,0.236324711,-0.008204507,0.305464748
-0.01472976,-0.035232861,-0.02318687,-0.01362002,-0.225831497,-0.074196781,-0.225831497,-0.021970276,-0.021970276,-0.023835544,-0.400630194,-0.293079107,-0.051635738,-0.008337864,-0.908782299
0.015977568,-0.035232861,-0.02318687,-0.01362002,-0.225831497,-0.074196781,-0.225831497,-0.021970276,-0.021970276,-0.023835544,1.651077484,-0.535442595,0.092344486,-0.008272798,-0.496930816
0.054361727,-0.035232861,-0.02318687,0.028317751,0.530482982,0.00213591,0.530482982,-0.021970276,-0.021970276,-0.023835544,0.244017549,0.302555021,0.272319767,-0.008349693,1.218658808
-0.037760256,-0.035232861,-0.02318687,-0.01362002,0.278378156,-0.074196781,0.278378156,-0.021970276,-0.021970276,-0.023835544,1.567972931,-0.71426774,-0.159620907,-0.008296154,-0.569238519
-0.045437088,-0.035232861,-0.02318687,-0.01362002,1.034692635,-0.074196781,1.034692635,-0.021970276,-0.021970276,-0.023835544,0.334830413,-0.658564206,-0.195615963,-0.007908786,-1.025354414
0.008300736,-0.035232861,-0.02318687,-0.01362002,0.782587809,-0.074196781,0.782587809,-0.021970276,-0.021970276,-0.023835544,1.378629365,-0.577020852,0.05634943,-0.008316789,-1.331356218
-0.007052928,-0.035232861,-0.02318687,0.070255522,0.02627333,-0.036030436,0.02627333,-0.021970276,-0.021970276,-0.023835544,-1.09970207,1.557751047,-0.015640682,-0.008188078,1.68920875
-0.022406592,-0.035232861,-0.02318687,-0.01362002,-0.730041149,-0.074196781,-0.730041149,-0.021970276,-0.021970276,-0.023835544,-0.286652925,-0.375831953,-0.051635738,-0.008259938,-0.229557273
0.131130047,-0.035232861,-0.02318687,-0.01362002,-0.225831497,0.19296764,-0.225831497,-0.021970276,-0.021970276,-0.023835544,-0.74633194,2.292972477,0.668265384,-0.008243047,2.004970719
-0.05311392,-0.035232861,-0.02318687,-0.01362002,-0.477936323,-0.074196781,-0.477936323,-0.021970276,-0.021970276,-0.023835544,0.103496576,-0.566884073,-0.231611019,-0.008219869,-0.154087825
0.092745887,-0.035232861,-0.02318687,-0.011713758,0.782587809,0.078468602,0.782587809,-0.021970276,-0.021970276,-0.023835544,-1.022193271,0.64993283,0.452295047,-0.00834882,1.386643625
-0.01472976,-0.035232861,-0.02318687,-0.01362002,-0.982145975,-0.074196781,-0.982145975,-0.021970276,-0.021970276,-0.023835544,1.48669601,-0.53675596,-0.051635738,-0.008310134,-0.641271289
-0.037760256,-0.035232861,-0.02318687,-0.01362002,0.278378156,-0.074196781,0.278378156,-0.021970276,-0.021970276,-0.023835544,0.202103728,-0.645536819,-0.159620907,-0.008325282,-0.822865351
-0.007052928,-0.035232861,-0.02318687,-0.01362002,0.02627333,-0.074196781,0.02627333,-0.021970276,-0.021970276,-0.023835544,0.811344554,-0.587367755,-0.015640682,-0.008315137,-0.643883164
-0.01472976,-0.035232861,-0.02318687,-0.01362002,1.034692635,-0.074196781,1.034692635,-0.021970276,-0.021970276,-0.023835544,-1.627742765,-0.695061064,-0.051635738,-0.007948649,-0.955658586
0.0236544,-0.035232861,-0.02318687,-0.01362002,0.782587809,-0.074196781,0.782587809,-0.021970276,-0.021970276,-0.023835544,0.765381088,-0.43398534,0.128339542,-0.007918956,-0.907132694
0.077392223,-0.035232861,-0.02318687,-0.002182446,2.547321592,0.040302256,2.547321592,-0.021970276,-0.021970276,-0.023835544,-0.826958703,1.593910162,0.380304935,-0.008262111,1.511738702
-0.045437088,-0.035232861,-0.02318687,-0.01362002,-0.730041149,-0.074196781,-0.730041149,-0.021970276,-0.021970276,-0.023835544,-0.845421945,-0.768394571,-0.195615963,-0.008241224,-0.38132097
0.008300736,-0.035232861,-0.02318687,-0.01362002,0.530482982,-0.074196781,0.530482982,-0.021970276,-0.021970276,-0.023835544,0.001349515,1.075322111,0.05634943,-0.008267971,0.449117885
-0.05311392,-0.035232861,-0.02318687,-0.01362002,-0.982145975,-0.074196781,-0.982145975,-0.021970276,-0.021970276,-0.023835544,0.868246135,-0.575812191,-0.231611019,-0.008192438,0.058436338
0.039008064,-0.035232861,-0.02318687,-0.01362002,0.02627333,-0.074196781,0.02627333,-0.021970276,-0.021970276,-0.023835544,-0.694479173,0.937909289,0.200329655,-0.008278468,0.677863169
-0.037760256,-0.035232861,-0.02318687,-0.01362002,0.02627333,-0.074196781,0.02627333,-0.021970276,-0.021970276,-0.023835544,0.798837647,-0.385070154,-0.159620907,-0.007948681,-0.958957797
-0.01472976,-0.035232861,-0.02318687,-0.002182446,-0.225831497,-0.074196781,-0.225831497,-0.021970276,-0.021970276,-0.023835544,0.588949359,0.371658327,-0.051635738,-0.008243972,0.611329084
-0.045437088,-0.035232861,-0.02318687,-0.01362002,0.530482982,-0.074196781,0.530482982,-0.021970276,-0.021970276,-0.023835544,-0.879703111,-0.62823155,-0.195615963,-0.00826017,-0.442768771
